Date,Training URL
5/15/24,https://www.redhat.com/en/services/training/ad082-event-driven-architecture-apache-kafka-red-hat-openshift-application-services-technical-overview
5/8/24,https://www.redhat.com/en/services/training/do007-ansible-essentials-simplicity-automation-technical-overview
